,lyrics_row,song_name,artist_name
0,"Yeah, I was born a misfit, grew up ten miles from the town of Ipswich",Remember the Name,50 Cent
1,"Wanted to make it big, I wished it to existence",Remember the Name,50 Cent
2,"I never was a sick kid, always dismissed quick",Remember the Name,50 Cent
3,"""Stick to singing, stop rappin'"", like it's Christmas",Remember the Name,50 Cent
4,"And if you're talkin' money, then my conversation shiftin'",Remember the Name,50 Cent
5,My dreams are bigger than just bein' on the rich list,Remember the Name,50 Cent
6,"Might be insanity, but people call it gifted",Remember the Name,50 Cent
7,My face is goin' numb from the shit this stuff is mixed with,Remember the Name,50 Cent
8,Watch how the lyrics in the songs might get twisted,Remember the Name,50 Cent
9,"My wife wears red, but looks better without the lipstick",Remember the Name,50 Cent
10,I'm a private guy and you know nothin' 'bout my business,Remember the Name,50 Cent
11,"And if I had my fifteen minutes, I must have missed 'em",Remember the Name,50 Cent
12,Twenty years old is when I came in the game,Remember the Name,50 Cent
13,And now it's eight years on and you remember the name,Remember the Name,50 Cent
14,"And if you thought I was good, well, then I'm better today",Remember the Name,50 Cent
15,But it's ironic how you people thought I'd never be great,Remember the Name,50 Cent
16,"I like my shows open-air, Tokyo to Delaware",Remember the Name,50 Cent
17,Put your phones in the air if you wanna be rocked,Remember the Name,50 Cent
18,You know I want way more than I already got,Remember the Name,50 Cent
19,Give me a song with Eminem and 50 Cent in the club,Remember the Name,50 Cent
20,You know it ain't my time to call it a day,Remember the Name,50 Cent
21,I wanna crack one and I wanna be paid,Remember the Name,50 Cent
22,But it's 'bout time you remember the name,Remember the Name,50 Cent
23,"Ayy, ayy",Remember the Name,50 Cent
24,You know it ain't my time to call it a day,Remember the Name,50 Cent
25,I wanna crack one and I wanna be paid,Remember the Name,50 Cent
26,But it's 'bout time you remember the name,Remember the Name,50 Cent
27,"Ayy, ayy",Remember the Name,50 Cent
28,"Hey, hey, hey",Remember the Name,50 Cent
29,"I can still remember (what), tryna shop a deal (uh-huh)",Remember the Name,50 Cent
30,From Taco Bell to TRL,Remember the Name,50 Cent
31,I climbed the Billboard charts to the top until,Remember the Name,50 Cent
32,As fate would have it (yeah),Remember the Name,50 Cent
33,"became an addict, funny 'cause I had pop appeal",Remember the Name,50 Cent
34,But they said time would tell (what) if I'd prevail (huh),Remember the Name,50 Cent
35,And all I did was (what) put Nine Inch Nails (where),Remember the Name,50 Cent
36,"In my eyelids now (what), I'm seein' diamond sales",Remember the Name,50 Cent
37,Like I'm in Zales (yeah),Remember the Name,50 Cent
38,"Without a doubt, by any means, if rap was skinny jeans",Remember the Name,50 Cent
39,I couldn't do anything in 'em,Remember the Name,50 Cent
